model,type,recall_score,precision_score,f1_score,accuracy
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature train,0.5677688349227705,0.6060647338672402,0.5841982220340549,0.8185132671662954
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",eval,0.5859920070446386,0.7222222222222223,0.6316245344420109,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",train,0.5529049801279938,0.7533613607969308,0.5987888002616719,0.8497062993720883
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature eval,0.5111512959614225,0.551310861423221,0.5238095238095237,0.84
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature train,0.5506692603762684,0.7941670650085376,0.5981463361912436,0.8531496860441564
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",eval,0.571956498785767,0.793040293040293,0.6376969284823756,0.87
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",train,0.5699596728203891,0.7259903195790341,0.6116322183658063,0.8478833299574641
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.5873015873015873,0.625557904627672,0.6040189989039094,0.86
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.588542865404374,0.7156714469495583,0.6302121194923557,0.8511241644723516
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",eval,0.41269841269841273,0.4803312629399586,0.43001443001442996,0.84
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",train,0.56106802051302,0.738102471013753,0.6034023758741743,0.8511241644723516
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.538961038961039,0.7910135841170324,0.5691600728716318,0.8
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.5886093948941543,0.7539138763951357,0.6215845816972055,0.8549726554587807
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",eval,0.3333333333333333,0.2733333333333333,0.30036630036630035,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",train,0.3401630252197095,0.5565484471650864,0.30468137760743313,0.7753696576868544
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature eval,0.3541666666666667,0.5892255892255892,0.3287394957983193,0.77
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature train,0.37129686052893646,0.7832883490778227,0.3641265003032008,0.7903585173182094
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.4325396825396825,0.4598039215686274,0.24722835869743087,0.23
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.35874476603597216,0.36921324849241083,0.14974751819341953,0.20052663560866923
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.5315700559602999,0.4987654320987654,0.5123673191157854,0.75
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.5021714615779809,0.485136953877874,0.4792415457703367,0.7040712983593276
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.0,0.0,0.0,0.0
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.13236803327456922,0.09668454677828968,0.03962314313257517,0.0342313145635001
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.4084362139917695,0.3610251117991056,0.25103198436531765,0.31
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.3283421105806695,0.33780120802622476,0.23075661394542965,0.26817905610694753
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.5462992292260586,0.5412801484230055,0.44760431738429035,0.55
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",train,0.5215569933350527,0.570976451134679,0.45572854758817094,0.4891634595908446
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.5582303874986801,0.5137674825174825,0.48903549815958575,0.6
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.4936004702877968,0.4692388996927508,0.4425368509407143,0.5766659914928094
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",eval,0.5049066160177271,0.5883895131086142,0.5284360634205836,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",train,0.524888786276498,0.6456304744124012,0.5616414051708943,0.8185132671662954
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature eval,0.5630325814536341,0.7862745098039216,0.609969740404523,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature train,0.5504146537121509,0.5871996078607649,0.5662120878705094,0.801701438120316
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",eval,0.5095238095238096,0.939068100358423,0.5604088219472835,0.83
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",train,0.5144843216527485,0.7378608760024591,0.560034406497393,0.8387684828843427
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature eval,0.5822457378012934,0.7588431127756969,0.6369260747777371,0.88
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature train,0.5229790313942009,0.765650861964008,0.5694528885460165,0.8424144217135913
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",eval,0.5685714285714286,0.9134453781512605,0.6301075268817203,0.83
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",train,0.5138451585791878,0.7585762601444976,0.5571953566248964,0.8466680170143812
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.6682539682539682,0.7071134626690182,0.6758648758648759,0.84
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.5637245307186408,0.7866209904391835,0.6118502730431505,0.8509216123151712
